election_date,county_name,abs_sent,abs_accepted,abs_spoiled_EV,abs_received_not_counted,abs_outstanding
11/05/2024,ALAMANCE,6377,4102,888,92,2183
11/05/2024,ALEXANDER,809,484,115,44,281
11/05/2024,ALLEGHANY,349,242,52,12,95
11/05/2024,ANSON,341,228,34,1,112
11/05/2024,ASHE,900,588,142,0,312
11/05/2024,AVERY,635,415,85,15,205
11/05/2024,BEAUFORT,1247,796,173,35,416
11/05/2024,BERTIE,289,145,44,11,133
11/05/2024,BLADEN,644,408,77,26,210
11/05/2024,BRUNSWICK,10490,6813,1746,260,3417
11/05/2024,BUNCOMBE,19356,11627,3453,285,7444
11/05/2024,BURKE,2445,1484,406,0,961
11/05/2024,CABARRUS,10955,7069,1573,60,3826
11/05/2024,CALDWELL,2535,1488,492,53,994
11/05/2024,CAMDEN,304,190,40,7,107
11/05/2024,CARTERET,3011,1785,437,74,1152
11/05/2024,CASWELL,549,367,69,11,171
11/05/2024,CATAWBA,5932,3637,983,131,2164
11/05/2024,CHATHAM,4909,3202,903,8,1699
11/05/2024,CHEROKEE,1201,754,203,25,422
11/05/2024,CHOWAN,395,213,54,9,173
11/05/2024,CLAY,455,312,63,5,138
11/05/2024,CLEVELAND,2642,1643,377,22,977
11/05/2024,COLUMBUS,1140,718,136,4,418
11/05/2024,CRAVEN,4388,2631,600,22,1735
11/05/2024,CUMBERLAND,11657,6222,1484,190,5245
11/05/2024,CURRITUCK,1110,712,133,3,395
11/05/2024,DARE,2145,1393,300,24,728
11/05/2024,DAVIDSON,6255,4131,935,3,2121
11/05/2024,DAVIE,1661,1032,290,22,607
11/05/2024,DUPLIN,1096,673,139,53,370
11/05/2024,DURHAM,16370,9767,2910,224,6379
11/05/2024,EDGECOMBE,807,455,112,9,343
11/05/2024,FORSYTH,19055,11998,3006,385,6672
11/05/2024,FRANKLIN,2545,1536,436,36,973
11/05/2024,GASTON,8336,4776,1394,156,3404
11/05/2024,GATES,210,131,23,3,76
11/05/2024,GRAHAM,235,163,21,1,71
11/05/2024,GRANVILLE,1777,1057,259,10,710
11/05/2024,GREENE,414,259,49,13,142
11/05/2024,GUILFORD,20780,12816,3281,482,7482
11/05/2024,HALIFAX,889,492,146,22,375
11/05/2024,HARNETT,5020,3212,671,116,1692
11/05/2024,HAYWOOD,2525,1750,368,21,754
11/05/2024,HENDERSON,6860,4195,1062,78,2587
11/05/2024,HERTFORD,382,221,48,1,160
11/05/2024,HOKE,1431,408,269,0,1023
11/05/2024,HYDE,125,93,8,1,31
11/05/2024,IREDELL,9303,5563,1541,91,3649
11/05/2024,JACKSON,1340,864,196,3,473
11/05/2024,JOHNSTON,8296,5000,1477,43,3253
11/05/2024,JONES,227,144,32,3,80
11/05/2024,LEE,2024,1376,297,22,626
11/05/2024,LENOIR,1250,781,167,57,412
11/05/2024,LINCOLN,3378,2002,642,150,1226
11/05/2024,MACON,1648,1089,233,4,555
11/05/2024,MADISON,782,455,134,25,302
11/05/2024,MARTIN,460,285,58,9,166
11/05/2024,MCDOWELL,1169,765,154,55,349
11/05/2024,MECKLENBURG,61000,37600,10802,423,22977
11/05/2024,MITCHELL,562,346,83,12,204
11/05/2024,MONTGOMERY,547,369,61,5,173
11/05/2024,MOORE,6125,4362,597,130,1633
11/05/2024,NASH,2256,1268,381,42,946
11/05/2024,NEW HANOVER,13188,7079,1806,492,5617
11/05/2024,NORTHAMPTON,369,189,50,22,158
11/05/2024,ONSLOW,7349,3914,948,87,3348
11/05/2024,ORANGE,8851,6007,1087,111,2733
11/05/2024,PAMLICO,483,316,91,1,166
11/05/2024,PASQUOTANK,1106,620,173,11,475
11/05/2024,PENDER,2572,1057,556,36,1479
11/05/2024,PERQUIMANS,339,178,56,8,153
11/05/2024,PERSON,1019,686,126,5,328
11/05/2024,PITT,4947,2731,852,115,2101
11/05/2024,POLK,965,669,135,17,279
11/05/2024,RANDOLPH,4153,2496,581,38,1619
11/05/2024,RICHMOND,719,422,99,19,278
11/05/2024,ROBESON,1693,946,233,76,671
11/05/2024,ROCKINGHAM,2265,1429,370,3,833
11/05/2024,ROWAN,4747,2996,582,2,1749
11/05/2024,RUTHERFORD,2056,1221,265,126,709
11/05/2024,SAMPSON,1158,629,132,11,518
11/05/2024,SCOTLAND,735,483,80,7,245
11/05/2024,STANLY,1781,1166,263,61,554
11/05/2024,STOKES,1259,807,200,12,440
11/05/2024,SURRY,2352,1527,298,51,774
11/05/2024,SWAIN,367,187,51,8,172
11/05/2024,TRANSYLVANIA,1531,1066,217,6,459
11/05/2024,TYRRELL,35,16,8,0,19
11/05/2024,UNION,11075,6576,1800,3,4496
11/05/2024,VANCE,986,624,99,42,320
11/05/2024,WAKE,72728,44084,10756,1081,27563
11/05/2024,WARREN,513,319,66,19,175
11/05/2024,WASHINGTON,221,154,18,0,67
11/05/2024,WATAUGA,2242,1427,358,32,783
11/05/2024,WAYNE,3003,1825,392,125,1053
11/05/2024,WILKES,2006,1401,218,46,559
11/05/2024,WILSON,2058,1261,315,30,767
11/05/2024,YADKIN,994,638,104,16,340
11/05/2024,YANCEY,1047,667,175,17,363
